Britain,1832,432,Peacetime
United States,1857,425,Peacetime
Spain,1895,420,Peacetime
Britain,1845,400,Peacetime
Britain,1801,400,Peacetime
Britain,1854,380,Peacetime
United States,1859,389,Peacetime
Ireland,1810,400,Peacetime
United States,1856,377,Peacetime
Britain,1878,376,Peacetime
Britain,1815,372,Peacetime
Britain,1816,364,Peacetime
Britain,1893,358,Peacetime
Germany,1875,355,Peacetime
United States,1854,350,Peacetime
Britain,1853,348,Peacetime
Britain,1806,347,Peacetime
United States,1800,340,Peacetime
Germany,1895,334,Peacetime
Chile,1856,400,Peacetime
United States,1860,300,Peacetime
Britain,1887,299,Peacetime
Britain,1873,293,Peacetime
United States,1854,284,Peacetime
United States,1866,283,Peacetime
Britain,1880,281,Peacetime
Japan,1886,280,Peacetime
United States,1869,300,Peacetime
United States,1898,274,Peacetime
United States,1875,273,Peacetime
Germany,1878,276,Peacetime
Britain,1805,263,Peacetime
Britain,1847,251,Peacetime
United States,1854,311,Peacetime
United States,1858,250,Peacetime
Britain,1850,250,Peacetime
Britain,1847,242,Peacetime
Britain,1847,241,Peacetime
United States,1850,289,Peacetime
Britain,1863,237,Peacetime
France,1873,226,Peacetime
United States,1865,225,Peacetime
Britain,1835,224,Peacetime
Britain,1866,220,Peacetime
United States,1898,192,Peacetime
Britain,1870,191,Peacetime
Britain,1816,190,Peacetime
United States,1847,250,Peacetime
Britain,1842,189,Peacetime
Britain,1863,189,Peacetime
France,1826,189,Peacetime
United States,1856,186,Peacetime
Canada,1881,182,Peacetime
United States,1848,178,Peacetime
Russia,1893,177,Peacetime
United States,1862,223,Peacetime
Britain,1890,173,Peacetime
United States,1814,173,Peacetime
Britain,1833,265,Peacetime
Britain,1853,160,Peacetime
United States,1852,200,Peacetime
Britain,1857,150,Peacetime
Britain,1858,147,Peacetime
Britain,1854,144,Peacetime
Britain,1881,143,Peacetime
New Zealand,1894,140,Peacetime
United States,1840,139,Peacetime
Britain,1841,136,Peacetime
Britain,1890,134,Peacetime
Britain,1833,133,Peacetime
New Zealand,1881,131,Peacetime
Britain,1892,150,Peacetime
United States,1870,125,Peacetime
Britain,1883,195,Peacetime
Canada,1882,123,Peacetime
Britain,1867,123,Peacetime
Britain,1857,121,Peacetime
Germany,1861,107,Peacetime
Britain,1898,106,Peacetime
Spain,1801,1700,Wartime
France,1805,1050,Wartime
China,1894,840,Wartime
France,1855,693,Wartime
France,1805,480,Wartime
France,1805,474,Wartime
Britain,1852,450,Wartime
Britain,1807,400,Wartime
Italy,1866,391,Wartime
Britain,1805,340,Wartime
China,1894,263,Wartime
Britain,1807,250,Wartime
China,1894,245,Wartime
Italy,1866,231,Wartime
China,1895,170,Wartime
Chile,1879,135,Wartime
United States,1861,120,Wartime
Britain,1807,120,Wartime
Britain,1809,117,Wartime
United States,1864,94,Wartime
Philippines,1987,4386,Peacetime
Egypt,1991,1600,Peacetime
Haiti,1993,1500,Peacetime
Britain,1912,1496,Peacetime
Japan,1954,1153,Peacetime
Canada,1914,1012,Peacetime
United States,1904,1029,Peacetime
Japan,1912,1000,Peacetime
Singapore,1921,1000,Peacetime
Japan,1927,900,Peacetime
Estonia,1994,852,Peacetime
United States,1915,845,Peacetime
Tanzania,1996,800,Peacetime
Russia,1939,741,Peacetime
Britain,1902,737,Peacetime
Britain,1914,736,Peacetime
Denmark,1904,635,Peacetime
india,1947,625,Peacetime
Russia,1955,608,Peacetime
United States,1947,581,Peacetime
Indonesia,1981,580,Peacetime
France,1920,568,Peacetime
Bangladesh,1986,600,Peacetime
Spain,1919,488,Peacetime
Spain,1916,445,Peacetime
China,1975,432,Peacetime
Russia,1986,423,Peacetime
India,1988,400,Peacetime
Philippines,1988,389,Peacetime
Indonesia,1999,361,Peacetime
United States,1918,343,Peacetime
South Korea,1970,326,Peacetime
Italy,1927,314,Peacetime
China,1999,314,Peacetime
Indonesia,1999,313,Peacetime
France,1911,300,Peacetime
Brazil,1981,300,Peacetime
Italy,1906,500,Peacetime
South Korea,1993,292,Peacetime
Malta,1996,283,Peacetime
